"id","labels","properties"
"f32bd123-42c0-5ba0-a943-797dc52d7e1a","Book","{""name"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""description"": ""Classic American novel by Mark Twain"", ""chapter"": ""Preamble"", ""chunk"": ""ADVENTURES\\nOF\\nHUCKLEBERRY FINN"", ""chunk_order_number"": 1, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"f1912760-8749-51e0-908a-70e6ce194ca4","Author","{""name"": ""Mark Twain"", ""description"": ""American author"", ""chapter"": ""Preamble"", ""chunk"": ""ADVENTURES\\nOF\\nHUCKLEBERRY FINN"", ""chunk_order_number"": 1, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"1bcd403f-f184-58af-a991-abee627ceca8","Chapter","{""name"": ""Preamble"", ""description"": ""The Preamble of the book."", ""chapter"": ""Preamble"", ""chunk"": ""ADVENTURES\\nOF\\nHUCKLEBERRY FINN"", ""chunk_order_number"": 1, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"5845abb4-e536-5f82-ae06-2a4e2b06f325","Chunk","{""order_number"": 2, ""name"": ""(Tom Sawyer\u2019s Comrade)"", ""description"": ""A segment of text"", ""chapter"": ""Preamble"", ""chunk"": ""(Tom Sawyer\u2019s Comrade)"", ""chunk_order_number"": 2, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"827d409f-1b6e-5224-8cee-a617bf5f0402","Actor","{""name"": ""Tom Sawyer"", ""description"": ""Character in the book"", ""chapter"": ""Preamble"", ""chunk"": ""(Tom Sawyer\u2019s Comrade)"", ""chunk_order_number"": 2, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"d87c4906-7343-5814-afd9-806d112049be","Chunk","{""chunk_order_number"": 3, ""name"": ""Preamble"", ""description"": ""Text segment of the chapter."", ""chapter"": ""Preamble"", ""chunk"": ""By Mark Twain"", ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"75386af5-fb47-5d3c-8446-d2dc90dbb774","Chunk","{""chunk_order_number"": 4, ""name"": ""NOTICE."", ""description"": ""Text content passage"", ""chapter"": ""Preamble"", ""chunk"": ""NOTICE."", ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"01857871-2163-5541-b7e4-05c3cd95386e","Chunk","{""content"": ""Persons attempting to find a motive in this narrative will be\\nprosecuted; persons attempting to find a moral in it will be banished;\\npersons attempting to find a plot in it will be shot."", ""name"": ""Chunk 1"", ""description"": ""Text segment from the Preamble"", ""chapter"": ""Preamble"", ""chunk"": ""Persons attempting to find a motive in this narrative will be\\nprosecuted; persons attempting to find a moral in it will be banished;\\npersons attempting to find a plot in it will be shot."", ""chunk_order_number"": 5, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"9d1ee067-a3a7-52a1-a5cf-f55fc0aa7c00","Chunk","{""name"": ""BY ORDER OF THE AUTHOR\\nPER G. G., CHIEF OF ORDNANCE."", ""description"": ""Preamble text chunk"", ""chapter"": ""Preamble"", ""chunk"": ""BY ORDER OF THE AUTHOR\\nPER G. G., CHIEF OF ORDNANCE."", ""chunk_order_number"": 6, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"05edf870-b4e2-5ca0-98a7-5414a20041a3","Chunk","{""chunk_order_number"": 7, ""name"": ""EXPLANATORY"", ""chapter"": ""Preamble"", ""chunk"": ""EXPLANATORY"", ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"c0424f19-39d0-5ddd-8eed-2076ff672d8a","Intangible","{""name"": ""dialects"", ""description"": ""Different dialects used in the book"", ""chapter"": ""Preamble"", ""chunk"": ""In this book a number of dialects are used, to wit: the Missouri negro\\ndialect; the extremest form of the backwoods Southwestern dialect; the\\nordinary \u201cPike County\u201d dialect; and four modified varieties of this\\nlast. The shadings have not been done in a haphazard fashion, or by\\nguesswork; but painstakingly, and with the trustworthy guidance and\\nsupport of personal familiarity with these several forms of speech."", ""chunk_order_number"": 8, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"9a91a0a7-3639-53de-9334-c786ed274549","Intangible","{""name"": ""Missouri negro dialect"", ""description"": ""One of the dialects used in the book"", ""chapter"": ""Preamble"", ""chunk"": ""In this book a number of dialects are used, to wit: the Missouri negro\\ndialect; the extremest form of the backwoods Southwestern dialect; the\\nordinary \u201cPike County\u201d dialect; and four modified varieties of this\\nlast. The shadings have not been done in a haphazard fashion, or by\\nguesswork; but painstakingly, and with the trustworthy guidance and\\nsupport of personal familiarity with these several forms of speech."", ""chunk_order_number"": 8, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"13d286c8-a57d-5b87-81cc-4c37fce78a40","Intangible","{""name"": ""backwoods Southwestern dialect"", ""description"": ""One of the dialects used in the book"", ""chapter"": ""Preamble"", ""chunk"": ""In this book a number of dialects are used, to wit: the Missouri negro\\ndialect; the extremest form of the backwoods Southwestern dialect; the\\nordinary \u201cPike County\u201d dialect; and four modified varieties of this\\nlast. The shadings have not been done in a haphazard fashion, or by\\nguesswork; but painstakingly, and with the trustworthy guidance and\\nsupport of personal familiarity with these several forms of speech."", ""chunk_order_number"": 8, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"eff49fd6-4a97-50cd-b2f4-645b0d861002","Intangible","{""name"": ""Pike County dialect"", ""description"": ""One of the dialects used in the book"", ""chapter"": ""Preamble"", ""chunk"": ""In this book a number of dialects are used, to wit: the Missouri negro\\ndialect; the extremest form of the backwoods Southwestern dialect; the\\nordinary \u201cPike County\u201d dialect; and four modified varieties of this\\nlast. The shadings have not been done in a haphazard fashion, or by\\nguesswork; but painstakingly, and with the trustworthy guidance and\\nsupport of personal familiarity with these several forms of speech."", ""chunk_order_number"": 8, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
"8044e4ec-3d54-5f28-93b3-6ec67777744e","Intangible","{""name"": ""modified varieties"", ""description"": ""Modified versions of dialects"", ""chapter"": ""Preamble"", ""chunk"": ""In this book a number of dialects are used, to wit: the Missouri negro\\ndialect; the extremest form of the backwoods Southwestern dialect; the\\nordinary \u201cPike County\u201d dialect; and four modified varieties of this\\nlast. The shadings have not been done in a haphazard fashion, or by\\nguesswork; but painstakingly, and with the trustworthy guidance and\\nsupport of personal familiarity with these several forms of speech."", ""chunk_order_number"": 8, ""author"": ""Mark Twain"", ""book"": ""ADVENTURES OF HUCKLEBERRY FINN"", ""chunk_index"": 0, ""timestamp"": ""2025-06-01T16:36:15Z""}"
